"t","N"
0,4879
60,6777
120,9219
180,12063
240,16643
300,22459
360,30191
420,40776
480,55059
540,74309
600,100378
660,135460
720,182907
780,247007
840,333506
900,450035
960,607428
1020,819885
1080,1106704
1140,1494134
1200,2016346
1260,2721331
1320,3672736
1380,4956506
1440,6688133
1500,9023761
1560,12173369
1620,16418165
1680,22136910
1740,29835397
1800,40189909
1860,54098373
1920,72749774
1980,97704610
2040,130991797
2100,175214563
2160,233650286
2220,310321626
2280,409988147
2340,537992395
2400,699867961
2460,900618452
2520,1143638166
2580,1429368650
2640,1754017001
2700,2108852359
2760,2480613330
2820,2853233725
2880,3210499953
2940,3538759381
3000,3828771001
3060,4076249330
3120,4281252186
3180,4446932736
3240,4578184737
3300,4680526224
3360,4759342755
3420,4819464384
3480,4864992703
3540,4899279025
3600,4924992604
3660,4944216467
3720,4958554505
3780,4969230253
3840,4977168844
3900,4983066401
3960,4987444014
4020,4990692460
4080,4993101508
4140,4994887579
4200,4996211597
4260,4997192885
4320,4997920132
4380,4998459122
4440,4998858557
4500,4999154180
4560,4999373246
4620,4999535705
4680,4999656113
4740,4999745187
4800,4999811233
4860,4999860153
4920,4999896273
4980,4999923241
